node1	node2
Q0045	YGL187C
Q0085	YPL078C
Q0250	YER154W
Q0275	YER154W
Q0275	YGL187C
YAL001C	YDR362C
YAL001C	YER148W
YAL001C	YGR246C
YAL002W	YOR089C
YAL003W	YBR118W
YAL003W	YKL081W
YAL003W	YPR080W
YAL004W	YML109W
YAL005C	YAL040C
YAL005C	YER151C
YAL005C	YJL061W
YAL005C	YLR310C
YAL005C	YNL064C
YAL005C	YNL189W
YAL005C	YPL240C
YAL009W	YDL116W
YAL009W	YGL100W
YAL009W	YHR004C
YAL009W	YKL057C
YAL009W	YML103C
YAL011W	YDL181W
YAL011W	YHR158C
YAL011W	YIR018W
YAL011W	YOR127W
YAL011W	YOR269W
YAL013W	YBL008W
YAL013W	YBL027W
YAL013W	YBR103W
YAL013W	YBR171W
YAL013W	YCR033W
YAL013W	YDL002C
YAL013W	YDL074C
YAL013W	YDL080C
YAL013W	YDR146C
YAL013W	YDR181C
YAL013W	YDR334W
YAL013W	YDR363W-A
YAL013W	YDR392W
YAL013W	YDR485C
YAL013W	YER016W
YAL013W	YER111C
YAL013W	YER139C
YAL013W	YFR010W
YAL013W	YGL127C
YAL013W	YGL133W
YAL013W	YGL149W
YAL013W	YGL161C
YAL013W	YGL167C
YAL013W	YGL194C
YAL013W	YGL244W
YAL013W	YGR105W
YAL013W	YGR181W
YAL013W	YGR182C
YAL013W	YGR200C
YAL013W	YGR270W
YAL013W	YHR041C
YAL013W	YHR060W
YAL013W	YHR178W
YAL013W	YHR200W
YAL013W	YJL115W
YAL013W	YJR073C
YAL013W	YJR140C
YAL013W	YKL118W
YAL013W	YKR029C
YAL013W	YLR055C
YAL013W	YLR085C
YAL013W	YLR087C
YAL013W	YLR111W
YAL013W	YLR268W
YAL013W	YLR384C
YAL013W	YLR418C
YAL013W	YML041C
YAL013W	YML047C
YAL013W	YMR060C
YAL013W	YMR312W
YAL013W	YNL140C
YAL013W	YNL215W
YAL013W	YNL298W
YAL013W	YOL012C
YAL013W	YOR089C
YAL013W	YOR123C
YAL013W	YOR213C
YAL013W	YOR304W
YAL013W	YPL055C
YAL013W	YPL086C
YAL013W	YPL101W
YAL013W	YPL102C
YAL013W	YPL144W
YAL013W	YPL174C
YAL013W	YPR023C
YAL014C	YAL030W
YAL014C	YMR197C
YAL014C	YOR036W
YAL016W	YCR066W
YAL016W	YDL134C
YAL016W	YNL127W
YAL016W	YOR014W
YAL020C	YML085C
YAL021C	YDL160C
YAL021C	YGL178W
YAL021C	YGR092W
YAL021C	YGR116W
YAL021C	YJL127C
YAL021C	YJR060W
YAL021C	YLR150W
YAL021C	YML032C
YAL021C	YNR052C
YAL023C	YDL095W
YAL023C	YJR143C
YAL023C	YOR321W
YAL024C	YAR019C
YAL024C	YBR140C
YAL024C	YGR152C
YAL024C	YHR152W
YAL024C	YIL106W
YAL024C	YIR009W
YAL024C	YML064C
YAL024C	YNL098C
YAL024C	YOR101W
YAL025C	YJR044C
YAL026C	YPL048W
YAL026C	YPL146C
YAL028W	YLR233C
YAL029C	YFL039C
YAL030W	YBL050W
YAL030W	YDR164C
YAL030W	YDR468C
YAL030W	YGR009C
YAL030W	YOR327C
YAL030W	YPL232W
YAL032C	YDR416W
YAL032C	YLR345W
YAL032C	YLR423C
YAL032C	YOR036W
YAL032C	YPL151C
YAL033W	YJR115W
YAL034W-A	YGL172W
YAL034W-A	YGR120C
YAL034W-A	YKL103C
YAL035W	YDL220C
YAL035W	YLR241W
YAL036C	YDL065C
YAL036C	YDR152W
YAL036C	YNR022C
YAL038W	YNL307C
YAL038W	YOR347C
YAL040C	YBL016W
