node1	node2
Q0050	YER142C
Q0080	YBL099W
Q0080	YJR121W
Q0085	YBL099W
Q0085	YDR298C
Q0085	YDR377W
Q0085	YJR121W
Q0085	YKL016C
Q0085	YML081C-A
Q0085	YPL078C
Q0130	YBL099W
Q0130	YJR121W
Q0250	YBR024W
Q0250	YBR037C
Q0250	YER154W
Q0275	YER154W
R0020C	YBL056W
R0020C	YBR217W
R0020C	YDR523C
R0030W	YOR101W
R0030W	YOR351C
YAL001C	YBR123C
YAL002W	YCL018W
YAL002W	YDR171W
YAL002W	YGL206C
YAL002W	YKR026C
YAL002W	YLR148W
YAL002W	YLR396C
YAL002W	YMR231W
YAL002W	YPL045W
YAL003W	YBR118W
YAL003W	YKL081W
YAL003W	YML064C
YAL004W	YGL181W
YAL004W	YML109W
YAL005C	YAR002W
YAL005C	YCL028W
YAL005C	YDR192C
YAL005C	YHR069C
YAL005C	YLR310C
YAL005C	YLR335W
YAL005C	YLR347C
YAL005C	YNL007C
YAL005C	YNL064C
YAL005C	YNL077W
YAL005C	YOR098C
YAL005C	YOR151C
YAL005C	YOR160W
YAL005C	YPL240C
YAL005C	YPR010C
YAL007C	YAR002C-A
YAL007C	YBR036C
YAL007C	YBR183W
YAL007C	YCL025C
YAL007C	YDL054C
YAL007C	YDR087C
YAL007C	YDR101C
YAL007C	YDR127W
YAL007C	YEL002C
YAL007C	YEL063C
YAL007C	YER110C
YAL007C	YGL200C
YAL007C	YGR060W
YAL007C	YHR026W
YAL007C	YHR110W
YAL007C	YHR140W
YAL007C	YJL117W
YAL007C	YLR342W
YAL007C	YML012W
YAL007C	YMR290C
YAL007C	YNL130C
YAL007C	YPL076W
YAL007C	YPL211W
YAL007C	YPL264C
YAL007C	YPR201W
YAL009W	YDL040C
YAL009W	YDR211W
YAL009W	YHR004C
YAL009W	YJL176C
YAL009W	YLR310C
YAL009W	YLR342W
YAL010C	YFL048C
YAL010C	YJL066C
YAL010C	YMR203W
YAL010C	YPL235W
YAL011W	YBL007C
YAL011W	YDL181W
YAL011W	YDR225W
YAL011W	YDR334W
YAL011W	YER081W
YAL011W	YGR002C
YAL011W	YHR158C
YAL011W	YIR018W
YAL011W	YNL107W
YAL011W	YOL012C
YAL011W	YOR127W
YAL011W	YOR269W
YAL012W	YBR055C
YAL012W	YJR091C
YAL012W	YMR101C
YAL012W	YMR300C
YAL012W	YPL149W
YAL013W	YGL061C
YAL013W	YNL330C
YAL014C	YER133W
YAL014C	YIL034C
YAL015C	YBR020W
YAL015C	YBR127C
YAL015C	YCL018W
YAL015C	YCL064C
YAL015C	YDL029W
YAL015C	YDL059C
YAL015C	YDR214W
YAL015C	YEL030W
YAL015C	YEL060C
YAL015C	YFL037W
YAL015C	YFL039C
YAL015C	YGR282C
YAL015C	YJL066C
YAL015C	YJL088W
YAL015C	YJR045C
YAL015C	YJR068W
YAL015C	YJR077C
YAL015C	YML085C
YAL015C	YMR012W
YAL015C	YMR058W
YAL015C	YMR146C
YAL015C	YMR214W
YAL015C	YNL037C
YAL015C	YPR110C
YAL016W	YAL024C
YAL016W	YDL134C
YAL016W	YDL188C
YAL016W	YDR482C
YAL016W	YFR024C-A
YAL016W	YFR040W
YAL016W	YGL190C
YAL016W	YGR161C
YAL016W	YGR281W
YAL016W	YHR082C
YAL016W	YHR135C
YAL016W	YHR158C
YAL016W	YJL020C
YAL016W	YLR191W
YAL016W	YML109W
YAL016W	YMR109W
YAL016W	YMR273C
YAL016W	YNL127W
YAL016W	YNR032W
YAL016W	YOL113W
YAL016W	YOR014W
YAL016W	YPL152W
YAL017W	YCL027W
YAL017W	YDR099W
YAL017W	YDR190C
YAL017W	YER054C
YAL017W	YER133W
YAL017W	YFR053C
YAL017W	YGL112C
YAL017W	YKL035W
YAL017W	YLR258W
YAL017W	YMR205C
YAL017W	YOL045W
YAL017W	YPR160W
YAL018C	YBR036C
YAL018C	YBR290W
YAL018C	YCL025C
YAL018C	YDL017W
YAL018C	YDR331W
YAL018C	YHR026W
YAL018C	YHR114W
YAL018C	YLL028W
YAL018C	YLR034C
YAL018C	YLR264W
YAL018C	YMR001C
YAL019W	YBL088C
YAL019W	YBR084W
YAL019W	YBR160W
YAL019W	YDL117W
YAL019W	YJL124C
YAL019W	YOL045W
YAL021C	YBL099W
YAL021C	YBR020W
YAL021C	YBR072W
YAL021C	YBR127C
YAL021C	YCL018W
YAL021C	YCL028W
YAL021C	YCR093W
YAL021C	YDL165W
YAL021C	YDR171W
YAL021C	YDR188W
YAL021C	YDR190C
YAL021C	YDR443C
YAL021C	YER068W
YAL021C	YFL028C
YAL021C	YFL037W
YAL021C	YFL039C
YAL021C	YGL048C
