node1	node2
Q0050	YPR140W
Q0110	YGR037C
Q0250	YIL051C
YAL001C	YBR123C
YAL001C	YDL074C
YAL001C	YDL078C
YAL001C	YDL097C
YAL001C	YDL147W
YAL001C	YDR362C
YAL001C	YDR381W
YAL001C	YDR449C
YAL001C	YDR523C
YAL001C	YFR052W
YAL001C	YGR047C
YAL001C	YMR093W
YAL001C	YOR110W
YAL007C	YAR002C-A
YAL007C	YBL003C
YAL007C	YBR009C
YAL007C	YDR086C
YAL007C	YDR174W
YAL007C	YDR381W
YAL007C	YGL008C
YAL007C	YGL055W
YAL007C	YGL200C
YAL007C	YGR231C
YAL007C	YJL034W
YAL007C	YLR075W
YAL007C	YLR150W
YAL007C	YLR342W
YAL007C	YML012W
YAL007C	YMR214W
YAL007C	YNL055C
YAL008W	YJL033W
YAL011W	YBL003C
YAL011W	YBR231C
YAL011W	YDR190C
YAL011W	YDR334W
YAL011W	YDR485C
YAL011W	YGR086C
YAL011W	YJL081C
YAL011W	YLR085C
YAL011W	YLR385C
YAL011W	YML041C
YAL011W	YPL235W
YAL012W	YKL210W
YAL012W	YOL013C
YAL013W	YBR095C
YAL013W	YMR263W
YAL013W	YPL139C
YAL013W	YPL181W
YAL016W	YBR079C
YAL016W	YDL134C
YAL016W	YDL188C
YAL016W	YGL190C
YAL016W	YGR161C
YAL016W	YML109W
YAL016W	YMR273C
YAL016W	YNL209W
YAL016W	YOR014W
YAL016W	YOR162C
YAL016W	YPL152W
YAL017W	YCR020W-B
YAL017W	YDL100C
YAL017W	YLR150W
YAL017W	YNL247W
YAL017W	YOR196C
YAL017W	YPR034W
YAL019W	YAL026C
YAL019W	YDL097C
YAL019W	YDL147W
YAL019W	YFR052W
YAL019W	YIL035C
YAL019W	YJR119C
YAL019W	YLR027C
YAL020C	YBL071W-A
YAL021C	YCR093W
YAL021C	YDR252W
YAL021C	YGR134W
YAL021C	YNL288W
YAL021C	YNR052C
YAL023C	YBR159W
YAL023C	YCR043C
YAL024C	YNL312W
YAL024C	YPR140W
YAL026C	YDL019C
YAL026C	YDR054C
YAL026C	YKL010C
YAL026C	YML069W
YAL027W	YCR009C
YAL027W	YCR028C-A
YAL027W	YDL014W
YAL027W	YDR381W
YAL027W	YDR388W
YAL027W	YER049W
YAL027W	YGL106W
YAL027W	YIL095W
YAL027W	YIL105C
YAL027W	YLL018C
YAL027W	YLR429W
YAL027W	YML095C
